Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-4_DIA.raw
O15498	O15498;H7C3K7	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	974605	902165	945812	929932	909211	1.04079e+06	964868	1.09929e+06	920381	861673	979053	954768	964744	1.04525e+06	1.17915e+06	1.17165e+06	1.05404e+06	867809	922401	925734	942245	909074	876151	998046	899619	1.0129e+06	873182	738727	910816	1.06037e+06	1.04261e+06	1.1676e+06	1.19026e+06	1.0912e+06	813092	848137	834169	770200	840538	811633	762040	810124	866537	808258	751289	834384	822963	985451	825257	775420	1.00593e+06
O15511	O15511;B1ALC0	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	4.13979e+07	3.94636e+07	4.14509e+07	4.09282e+07	4.19012e+07	4.0005e+07	4.24926e+07	4.22728e+07	3.93256e+07	4.09154e+07	3.96897e+07	4.01696e+07	4.21841e+07	3.73986e+07	4.13346e+07	3.57835e+07	4.02768e+07	4.44398e+07	4.40683e+07	4.43205e+07	4.47586e+07	4.34443e+07	4.32912e+07	4.3486e+07	4.43323e+07	4.59093e+07	4.37671e+07	4.38456e+07	4.25238e+07	4.57104e+07	4.00956e+07	4.10321e+07	3.75422e+07	4.18142e+07	4.27759e+07	4.49602e+07	4.31774e+07	4.2836e+07	4.27721e+07	4.40275e+07	4.24743e+07	4.25894e+07	4.19478e+07	4.43513e+07	4.23188e+07	4.26431e+07	4.4083e+07	3.9155e+07	4.03051e+07	3.95436e+07	3.99267e+07
O15511;Q9BPX5	O15511;Q9BPX5;B1ALC0	ARP5L_HUMAN;ARPC5_HUMAN	ARPC5;ARPC5L	Actin-related protein 2/3 complex subunit 5	3.81939e+06	3.63178e+06	3.79361e+06	3.73966e+06	2.70872e+06	4.07469e+06	3.88398e+06	3.83423e+06	4.42334e+06	4.09968e+06	3.8443e+06	3.85022e+06	4.17142e+06	3.47328e+06	3.69976e+06	3.65004e+06	2.54835e+06	4.20212e+06	4.2748e+06	4.14204e+06	3.52357e+06	3.64396e+06	4.1642e+06	4.25165e+06	4.27156e+06	4.06617e+06	3.91852e+06	3.91895e+06	4.08213e+06	2.53296e+06	4.0596e+06	3.95006e+06	3.60295e+06	3.24115e+06	3.83355e+06	3.09208e+06	2.95487e+06	3.30917e+06	2.85958e+06	3.67785e+06	3.90227e+06	2.99887e+06	2.8903e+06	3.3048e+06	3.36815e+06	4.14903e+06	3.53707e+06	3.43274e+06	3.60519e+06	3.34171e+06	2.94796e+06
O15523	O00571;O15523;A0A0D9SF53;A0A0D9SFB3;A0A0D9SG12;A0A2R8Y4A4;A0A2R8Y4D2;A0A2R8Y5G6;A0A2R8Y645;A0A2R8Y7T2;A0A2R8YCW1;A0A2R8YDH3;A0A2R8YDT5;A0A2R8YF78;A0A2R8YFR4;A0A2R8YFS5;A0A2U3TZJ9;C9J081;C9J8G5;F6S8Q4	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.8967e+06	1.86762e+06	1.94239e+06	1.96741e+06	1.82595e+06	2.09146e+06	1.97234e+06	1.94142e+06	1.97719e+06	1.96975e+06	2.03386e+06	1.97245e+06	1.95454e+06	1.79702e+06	1.65921e+06	1.79656e+06	1.65954e+06	1.7876e+06	1.86645e+06	1.78282e+06	1.76626e+06	1.80852e+06	1.73219e+06	1.91918e+06	1.74074e+06	1.79047e+06	1.89229e+06	1.76559e+06	1.83073e+06	1.73536e+06	1.61694e+06	1.57181e+06	1.72163e+06	1.76642e+06	2.14158e+06	2.02515e+06	2.1114e+06	2.10767e+06	2.12043e+06	2.1282e+06	2.14271e+06	2.29791e+06	2.20203e+06	2.22708e+06	2.1201e+06	2.20327e+06	2.2652e+06	1.98067e+06	2.04846e+06	1.93914e+06	1.96881e+06
O15530	O15530;Q6A1A2;E9PER6	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1									27127.4					194269	74584.2	64203.8		42627.4	95730.6						75099.7	14926.9	11539.2			47390.1	95552.6	64529.1	97996.3			58922.7												70543.3	54869.5	8370.63	
O15533	O15533;A0A0A0MSV9;A0A0G2JH37;A0A0G2JKZ1;A2AB90;C9JA35;Q6P1N7	TPSN_HUMAN	TAPBP	Tapasin	5.69382e+06	5.66507e+06	5.81473e+06	5.57903e+06	6.16088e+06	5.66021e+06	5.53648e+06	5.60678e+06	5.26572e+06	5.18714e+06	5.31938e+06	5.76536e+06	5.72096e+06	4.9063e+06	5.8471e+06	5.39846e+06	5.87332e+06	5.80113e+06	5.99155e+06	5.78491e+06	5.79412e+06	5.75831e+06	5.7051e+06	5.90769e+06	5.7908e+06	5.66106e+06	5.93188e+06	5.78196e+06	5.69171e+06	6.06378e+06	5.22826e+06	5.02732e+06	5.33222e+06	5.78783e+06	6.07941e+06	6.71763e+06	6.95071e+06	6.3245e+06	6.6933e+06	6.48979e+06	5.80264e+06	6.66697e+06	6.92368e+06	6.74232e+06	6.48193e+06	6.05896e+06	6.71143e+06	6.04334e+06	5.8574e+06	6.03703e+06	6.50785e+06
O15551	O15551	CLD3_HUMAN	CLDN3	Claudin-3	1.5272e+06	1.64658e+06	1.47232e+06	1.73062e+06	919121	1.53938e+06	1.60935e+06	1.47211e+06	1.47e+06	1.60699e+06	1.60021e+06	1.36896e+06	1.52271e+06	1.10139e+06	1.47122e+06	1.21061e+06	1.61673e+06	2.90421e+06	2.49203e+06	1.6588e+06	2.43128e+06	2.91119e+06	2.78511e+06	2.4202e+06	2.65937e+06	2.31551e+06	2.95964e+06	2.81057e+06	2.59389e+06	2.38048e+06	2.47648e+06	2.3434e+06	2.70554e+06	3.58524e+06	1.13543e+06	1.13573e+06	1.14347e+06	732063	1.2529e+06	954546	714337	573698	909746	1.28062e+06	919149	1.06701e+06	906531	745567	252669	787129	956309
O43149	O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	1.08216e+06	1.13927e+06	1.24255e+06	1.02045e+06	1.23691e+06	1.09175e+06	1.02825e+06	1.19147e+06	1.13666e+06	1.0563e+06	1.11034e+06	1.07368e+06	1.06102e+06	1.21677e+06	1.16458e+06	1.11195e+06	1.17321e+06	1.01505e+06	1.00615e+06	1.02123e+06	955310	950233	997319	1.02035e+06	924660	955158	1.02093e+06	987500	1.04011e+06	988503	1.10202e+06	1.05541e+06	1.1185e+06	1.20466e+06	791878	866963	943996	887545	956697	931511	872948	916257	998820	811745	963038	852174	946377	1.03097e+06	885981	1.00284e+06	1.11526e+06
O43150	O43150;A0A286YFG8	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	3.67518e+06	3.60982e+06	3.59575e+06	3.71092e+06	3.96344e+06	3.7115e+06	3.71582e+06	3.68726e+06	3.81054e+06	3.67e+06	3.73059e+06	3.70711e+06	3.90822e+06	3.81803e+06	3.94232e+06	3.65506e+06	3.9492e+06	3.86851e+06	3.84461e+06	3.93728e+06	4.10043e+06	4.0688e+06	4.09032e+06	3.97597e+06	3.952e+06	3.91487e+06	3.91514e+06	4.0445e+06	4.06917e+06	4.02549e+06	3.74782e+06	4.20414e+06	4.26513e+06	4.145e+06	3.70008e+06	3.64285e+06	3.82895e+06	3.85307e+06	3.93309e+06	3.89976e+06	3.80172e+06	4.04063e+06	3.86928e+06	3.88695e+06	3.98599e+06	3.91446e+06	3.94162e+06	3.73073e+06	4.45885e+06	3.85699e+06	4.48414e+06
O43169	O43169;D6RFH4;H3BUX2	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2.28946e+06	2.05149e+06	2.21555e+06	2.03972e+06	2.04091e+06	2.20957e+06	2.0612e+06	2.81699e+06	2.33518e+06	2.29287e+06	2.27313e+06	2.01665e+06	2.01746e+06	4.29644e+06	3.28943e+06	2.66775e+06	3.49802e+06	1.99604e+06	1.68131e+06	1.06095e+06	1.58006e+06	1.95063e+06	1.91538e+06	1.67281e+06	1.93032e+06	1.50351e+06	1.82831e+06	2.00219e+06	1.77188e+06	1.79523e+06	3.50613e+06	2.71337e+06	2.43553e+06	3.4615e+06	1.91963e+06	2.2581e+06	2.4257e+06	2.42773e+06	2.34569e+06	1.65263e+06	1.57981e+06	2.35852e+06	2.4805e+06	2.29973e+06	2.42361e+06	1.58513e+06	2.39301e+06	4.40706e+06	2.66304e+06	2.9654e+06	3.51958e+06
O43175	O43175;A0A286YF22;A0A286YF78;A0A286YFA2;A0A286YFE1;A0A286YFL2;A0A286YFM8;A0A2C9F2M7	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase			30557.8					62718.5	29054.8	41644.4	27076.2		18300.1	31043.9	33734			491288	399763	470601	485423	343623	458467	440023	434114	417989	409675	387241	492527	378186	295696	312135	412614	365810	45015.9		82890.9	57174.9	38510.6	149404	60158	50021.7	51767	49608.7	62051.5	53982.6	37258.3	18960.9	37710.4	33005.5	
O43181	O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	497723	708445	596355	583417	676661	597042	596466	595925	482095	465792	569050	473282	643662	670597	626888	618665	376915	800322	662624	644646	679760	472650	735406	586902	746888	714010	701069	695935	608786	567014	457031	552066	760394	531788	535435	604897	539357	699780	764057	759022	574605	780265	529791	555809	558358	782754	691526	498779	649229	692120	456344
O43182	O43182	RHG06_HUMAN	ARHGAP6	Rho GTPase-activating protein 6	7.1232e+06	7.37532e+06	7.23724e+06	7.14518e+06	6.86241e+06	7.21189e+06	7.02496e+06	7.09572e+06	7.35805e+06	7.0604e+06	7.14748e+06	7.30407e+06	7.1739e+06	5.50744e+06	6.12445e+06	5.3947e+06	6.06479e+06	7.16247e+06	7.20471e+06	7.14139e+06	7.50687e+06	7.21316e+06	6.83122e+06	7.20499e+06	6.8899e+06	7.20247e+06	7.58114e+06	7.39365e+06	7.12382e+06	7.18001e+06	5.38954e+06	5.97517e+06	5.8361e+06	5.82508e+06	6.89283e+06	6.47901e+06	6.67623e+06	6.54419e+06	6.35808e+06	6.7638e+06	6.7507e+06	6.42436e+06	6.42078e+06	6.70685e+06	6.78019e+06	6.13637e+06	6.41329e+06	5.38209e+06	5.36421e+06	5.67734e+06	5.62397e+06
O43236	O43236;J3KSZ7;J3QLR2;J3QRT6	SEPT4_HUMAN	SEPTIN4	Septin-4	6.29644e+06	5.93735e+06	6.43615e+06	6.42738e+06	5.16159e+06	5.9804e+06	6.26952e+06	5.86976e+06	6.09148e+06	6.49628e+06	6.80477e+06	2.66972e+06	6.48376e+06	6.06875e+06	4.81174e+06	3.66527e+06	4.46666e+06	7.10148e+06	6.96534e+06	6.76882e+06	4.1613e+06	6.72117e+06	7.03002e+06	6.58175e+06	6.9886e+06	5.98729e+06	7.26781e+06	7.12598e+06	7.36455e+06	6.04693e+06	4.65463e+06	6.15373e+06	4.95252e+06	5.18324e+06	6.93794e+06	7.34486e+06	5.77218e+06	5.91922e+06	6.67954e+06	6.93164e+06	7.43445e+06	6.90594e+06	6.68911e+06	7.90438e+06	6.10281e+06	7.23436e+06	6.38188e+06	4.34349e+06	5.89212e+06	5.70237e+06	5.11589e+06
O43236;Q16181	O43236;Q16181;E7EPK1;E7ES33;G3V1Q4;J3KSZ7;J3QRT6	SEPT4_HUMAN;SEPT7_HUMAN	SEPTIN4;SEPTIN7	Septin-4	1.03018e+06	916134	982486	1.13791e+06	1.00745e+06	1.14826e+06	913352	887963	937168	964632	1.04324e+06	889390	1.0078e+06	1.0968e+06	1.10792e+06	1.26655e+06	1.08366e+06	949707	964567	914513	1.0106e+06	1.02156e+06	1.07469e+06	1.05304e+06	946490	927274	1.10504e+06	1.09381e+06	949995	820251	1.20969e+06	1.29404e+06	1.14948e+06	1.16091e+06	939231	923794	1.08695e+06	944119	908022	1.03734e+06	938920	893772	866461	1.02165e+06	904167	1.0662e+06	918222	1.07263e+06	1.24963e+06	1.04346e+06	1.26427e+06
O43237	O43237;J3KRI4	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	350358	278353	253516	241619	188105	213569	212180	254139	188962	314357	300907	313996	253273	182714	220185	220426	148259			43414.8					36846.9	39193.2	49363.6		69808.3	79337.9	46745.4	21085.5		43115.6	116449	84921.4	66272.1	74930.9	107285	122755	93373.7	71731	69221.3	221478	98541.6	99562.8	98408.1	55360.9	102180	88029	80372.4
O43237;Q9Y6G9	O43237;Q9Y6G9;B4E2E0;C9JGM7;C9JLW1	DC1L1_HUMAN;DC1L2_HUMAN	DYNC1LI1;DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	244902	462151	454106	380151		378374	350534	313265	513405	325405	264848	430044	284648	222850	196175		306055				103768						79466.6	177998			91241.8	136045		100330		173707	102752		196132		57855.8		104758		171131					83807.3	139404
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	672515	623823	698463	702492	683782	750257	656321	726222	640845	706114	692571	755058	679262	917472	959370	900137	1.15154e+06	801912	742101	774912	723092	792707	780751	710723	746197	753092	647008	738452	747928	927668	978135	898622	951572	1.18828e+06	723406	698709	666755	712288	684223	619033	687267	705765	612118	690073	718051	727818	757525	881185	824184	779101	1.09587e+06
O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	412076	388916	421408	488389	468525	379731	449605	514958	426026	437490	467131	403620	477269	379406	372379	315231	368630	404202	432922	421602	378747	439341	440978	417235	370483	345701	413839	472509	433783	332913	377894	379637	295806	316391	754251	575321	589738	676237	703550	766327	756167	701169	708020	752581	668748	654897	738842	612717	604879	367458	619333
O43252;O95340	O43252;O95340	PAPS1_HUMAN;PAPS2_HUMAN	PAPSS1;PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	90646.7	33099.5	140131	143061		187355	115610	142636	89738.4	99485.6	78864.7	109623	81817.3	61098.4			39661.1			22823.9	26239.4									83291	141944		252511	32599.4						116530				23102.8	21874			349336	122956	103235	223354
O43264	O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	812610	472857	811345	685673	747930	950738	701778	803329	737905	707004	722852	854783	855740	605656	733165	623041	661232	673167	742949	863020	766622	704109	863352	569605	779064	427297	657156	696794	646865	705492	609052	674978	735552	803311	667504	856589	809737	666201	517706	561948	680674	745953	681433	596233	771164	886506	507623	822178	756154	823006	650888
O43286	O43286	B4GT5_HUMAN	B4GALT5	Beta-1,4-galactosyltransferase 5	436409	390754	602504	434469		550784		602105	559902	451630		397036	559734	501346		638139				898591			841868								871423							751298			1.08902e+06		943761				637494	1.05978e+06		1.23487e+06	
O43291	O43291;K7EKQ0;K7EM91;K7EQZ3;K7ESI5	SPIT2_HUMAN	SPINT2	Kunitz-type protease inhibitor 2	90827.8	40867.6	106309	44982.4	91211.6	205567	87038.2	110568	92429.5	51726.9	76452.1	122401	161590	130246	41924.7	205734	87141.6	172619	80611.7	42064.6	67853.6	148223	116033	140610	212860	144751	143209	135405	213409	108682	87797.4	85464	90415.3	107329		165478			78471	53359.4	74601.3	46289.8	71597.6	11939.5	10417.3	93214			60094.5	67531.3	64127
O43294	O43294;H3BQC4;H3BSN4	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.08861e+07	1.12795e+07	1.05743e+07	1.08808e+07	1.0513e+07	1.05395e+07	1.05871e+07	1.05497e+07	1.04233e+07	1.04324e+07	1.03615e+07	1.06569e+07	1.06899e+07	6.59876e+06	7.33567e+06	7.29775e+06	7.24981e+06	1.12316e+07	1.10628e+07	1.11983e+07	1.13323e+07	1.16641e+07	1.12471e+07	1.08191e+07	1.13565e+07	1.09177e+07	1.12749e+07	1.1259e+07	1.12332e+07	1.11783e+07	7.28485e+06	7.65357e+06	7.48405e+06	7.77736e+06	8.70865e+06	9.07713e+06	8.96383e+06	8.30342e+06	9.04694e+06	8.95834e+06	8.91202e+06	8.97714e+06	8.44542e+06	8.67948e+06	8.35362e+06	8.89148e+06	8.31732e+06	5.81084e+06	5.92673e+06	5.87897e+06	6.31262e+06
O43304	O43304	S14L5_HUMAN	SEC14L5	SEC14-like protein 5	702486	744121	1.00019e+06	570000	380577	847154	834519	720998	818912	770623	688633	541607	771907	556515	639835	516873	661680	697102	540742	820143	508966	684139	549815	727430	422368	809193	502706	500290	744006	760499	459005	604685	687616	351020	539907	388694	353624	287136	376621	351964	537713	293811	427737	296256	294610	479830	249266	336124	455077	543538	310500
O43306	O43306	ADCY6_HUMAN	ADCY6	Adenylate cyclase type 6	1.15673e+06	1.12939e+06	1.2142e+06	1.20019e+06	1.28893e+06	1.196e+06	1.24628e+06	1.35575e+06	1.29252e+06	1.25196e+06	1.17374e+06	1.27043e+06	1.24486e+06	1.77278e+06	1.5666e+06	1.47249e+06	1.64867e+06	1.27262e+06	1.20501e+06	1.17654e+06	1.19065e+06	1.13504e+06	1.25782e+06	1.19259e+06	1.27559e+06	1.14954e+06	1.15988e+06	1.17453e+06	1.141e+06	1.4239e+06	2.00388e+06	1.54991e+06	1.57818e+06	1.98205e+06	649740	636652	875948	814465	777674	865858	680138	932214	886015	722854	958085	755896	869561	1.23905e+06	1.24985e+06	1.20316e+06	1.46153e+06
O43310	O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	299802	329394	364176	339730	369577	222894	354368	357865	332506	445009	345582	401191	390050	288830	332644	350865	225419	350676	343858	306878	57322.4	421293	232017	291882	373671	375359	269285	331792	382404	284751	172729	330652	336781	244452	452449	309747	392306	331731	240685	391473	444833	260479	424534	294046	289252	446204	421844	296394	318837	423923	229752
O43312	O43312;E7EWW5;H0YAZ8;H0YBL3	MTSS1_HUMAN	MTSS1	Protein MTSS 1	3.09368e+06	3.23011e+06	3.22029e+06	3.54395e+06	3.51233e+06	3.46105e+06	3.24015e+06	3.295e+06	3.33433e+06	3.34173e+06	3.35281e+06	3.33598e+06	3.30897e+06	2.73759e+06	2.65797e+06	2.55615e+06	2.55229e+06	3.95221e+06	3.93646e+06	3.78231e+06	3.85609e+06	4.04998e+06	4.04074e+06	3.89405e+06	4.02071e+06	3.99458e+06	4.1818e+06	4.13387e+06	4.18494e+06	4.45324e+06	3.17258e+06	3.12841e+06	3.03132e+06	3.4426e+06	2.03572e+06	2.2859e+06	2.06851e+06	1.9955e+06	2.57408e+06	2.44298e+06	2.7195e+06	2.62343e+06	2.56238e+06	2.4916e+06	2.74959e+06	2.29735e+06	2.04578e+06	1.45831e+06	1.93551e+06	1.70373e+06	2.1808e+06
O43314	O43314;A0A087WZV0	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	254762	336444	239213	469330	204529	285294	198346	349856	281104	318329	384667	387708	272091	307383	267752	181346	131974	308444	282266	334746	342072	287829	217188	302744	376257	217092	363718	281289	260409	428658	316412	203065	182272	209820	263247	131795	311469	296264	196030	246250	337097	186345	291373	205391	305459	361649	312642	282179	136205	85503.2	260757
O43318	O43318;Q9UG54	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	286628	195089	329132	204184	319953	273242	333482	373480	327824	263277	352223	358906	321221	326046	249027	103396	731275	304893	205053	167610	300097	329218	281415	313593	165344	146427	303450	244126	271893	344475	349858	306635	127535	349022	313123	174647	381813	311675	384487	274785	282600	202141	312024	445163	344290	220240	302352	255495	267908	357881	154166
O43324	O43324;C9J1V9;D6RBD7;H0YAL7	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	531556	655985	658105	734416	610694	717294	785802	635521	562325	696197	750143	635349	651698	709949	583323	553031	511923	487953	567786	341041	269394	593919	543851	684239	618224	481172	448559	511829	698476	502125	561443	493609	374742	591658	415297	600808	604822	478499	455425	678265	552554	506864	177858	810754	649306	503400	551715	656686	443214	500597	592106
O43353	O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	78979.1	60941.1	168258	113174	110424	164358	167144	102737	144529	161987	93564	125798	139843	105464	75344.5	117224	59816.5	140225	118208	101304	116943	75624.4	153090	246790	40430.1	101357	135797	115344	137586	86720.2	97487.4	65103.6	87970.6			98936.1	89666.7		182041	183188	188362	53663.9	105246	139803	125284	144709	203128	67806.3	86583.5	62634.4	70608.9
O43390	O43390;A0A6Q8PEX7;A0A6Q8PH31;A0A6Q8PH35;B4DT28	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	246010	96773.1	202685	153777		176687	168872	114886	205896	219790	262726	271754	208736	171498	207453	180703	114612	142716					154685			128581		174296		110868	116071	59510.6	116959														46646	128618		180047	
O43390;O60506	O43390;O60506;A0A6Q8PEX7;A0A6Q8PHG0;B7Z645;F6UXX1	HNRPQ_HUMAN;HNRPR_HUMAN	HNRNPR;SYNCRIP	Heterogeneous nuclear ribonucleoprotein R	2.38422e+06	2.76706e+06	2.50954e+06	2.42031e+06	2.34773e+06	2.56881e+06	2.61932e+06	2.76841e+06	2.38419e+06	2.50036e+06	2.53409e+06	2.80858e+06	2.14886e+06	2.17895e+06	1.71906e+06	1.87916e+06	2.08593e+06	2.10783e+06	1.81134e+06	2.1741e+06	2.42227e+06	2.05937e+06	2.24965e+06	1.9717e+06	2.12901e+06	1.93086e+06	2.35374e+06	2.19635e+06	2.29801e+06	2.2248e+06	1.71027e+06	2.04744e+06	1.73703e+06	2.1809e+06	2.40926e+06	2.39973e+06	2.28502e+06	2.16252e+06	1.86321e+06	2.14725e+06	2.14032e+06	2.29248e+06	2.39862e+06	2.18861e+06	2.31047e+06	1.96364e+06	2.22583e+06	1.97422e+06	1.74819e+06	1.99837e+06	2.17757e+06
O43396	O43396;K7EML9;K7ER96	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	5.95747e+06	5.82948e+06	6.11566e+06	6.0986e+06	6.44509e+06	6.41377e+06	6.14161e+06	6.07405e+06	6.21583e+06	6.27671e+06	6.19767e+06	6.30322e+06	6.05549e+06	5.0123e+06	4.95141e+06	3.98192e+06	5.45063e+06	6.0324e+06	6.29805e+06	6.15337e+06	6.12206e+06	6.08224e+06	6.32964e+06	6.0152e+06	6.24187e+06	6.08823e+06	6.25705e+06	6.17872e+06	6.10685e+06	6.65389e+06	4.93825e+06	5.01024e+06	4.87711e+06	5.42106e+06	5.54242e+06	5.89671e+06	6.12612e+06	5.89016e+06	5.99274e+06	5.68986e+06	5.61536e+06	5.99775e+06	5.76584e+06	5.91381e+06	5.75935e+06	5.86843e+06	5.95571e+06	4.73395e+06	4.31736e+06	4.22468e+06	4.97916e+06
