Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-1-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-2-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-4_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-5_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-6_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-7_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-8_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-9_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-10_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-11_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-12_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3_mix-13_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-1_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-2_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-3_DIA.raw	C:\Users\massspecuser\Desktop\DIA_Latin_square\DIA\Platelets-3-4_DIA.raw
P25942	P25942	TNR5_HUMAN	CD40	Tumor necrosis factor receptor superfamily member 5	3.05328e+06	3.22676e+06	2.74482e+06	2.88578e+06	2.34329e+06	3.25504e+06	3.02198e+06	2.65231e+06	3.09667e+06	2.99403e+06	3.16798e+06	3.27323e+06	3.10154e+06	2.37721e+06	2.16119e+06	2.66924e+06	1.60529e+06	2.49341e+06	2.62148e+06	2.90578e+06	2.3397e+06	2.89743e+06	2.95651e+06	2.93946e+06	2.72532e+06	2.71097e+06	2.54294e+06	3.4381e+06	2.64842e+06	2.88144e+06	2.8335e+06	1.96522e+06	2.05508e+06	1.90703e+06	1.73589e+06	2.44224e+06	2.26514e+06	2.22472e+06	2.0802e+06	2.21222e+06	2.27179e+06	2.02718e+06	2.83623e+06	2.05942e+06	2.10801e+06	2.30148e+06	2.08609e+06	2.38904e+06	2.04957e+06	1.0106e+06	1.12339e+06	1.60412e+06	1.45281e+06
P26038	P26038	MOES_HUMAN	MSN	Moesin	4.70688e+07	4.4974e+07	4.46523e+07	4.51351e+07	4.53264e+07	4.47448e+07	4.62629e+07	4.60651e+07	4.64892e+07	4.77444e+07	4.69233e+07	4.54058e+07	4.66555e+07	4.17577e+07	4.41801e+07	3.99677e+07	3.92795e+07	4.39193e+07	4.76935e+07	4.74587e+07	4.78625e+07	4.88465e+07	4.78985e+07	4.75076e+07	4.75388e+07	4.76892e+07	4.93616e+07	4.7681e+07	4.91078e+07	4.68127e+07	4.77979e+07	4.21799e+07	4.37184e+07	4.24362e+07	4.25582e+07	4.62882e+07	5.0156e+07	5.10424e+07	4.81795e+07	4.95647e+07	4.84577e+07	4.93272e+07	4.96048e+07	5.06506e+07	4.97491e+07	5.03604e+07	4.81541e+07	4.88923e+07	4.80048e+07	4.44263e+07	4.79213e+07	4.44316e+07	4.47713e+07
P26196	P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	1.49983e+06	1.2905e+06	1.45017e+06	1.36545e+06	1.37431e+06	1.49677e+06	1.48116e+06	1.51491e+06	1.353e+06	1.50326e+06	1.442e+06	1.53059e+06	1.69581e+06	2.19375e+06	2.30325e+06	2.30107e+06	2.05222e+06	1.39159e+06	1.15829e+06	1.16099e+06	1.00867e+06	1.13204e+06	1.19844e+06	1.21149e+06	1.15173e+06	1.28613e+06	1.13576e+06	1.14448e+06	1.25516e+06	1.26861e+06	1.28797e+06	1.83129e+06	2.03757e+06	1.80126e+06	1.75267e+06	1.26112e+06	1.45447e+06	1.08534e+06	1.2113e+06	1.3144e+06	1.42127e+06	1.27532e+06	1.37188e+06	1.35595e+06	1.26543e+06	1.08985e+06	1.50419e+06	1.48751e+06	1.39717e+06	2.07863e+06	2.09933e+06	2.09989e+06	1.85586e+06
P26440	P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	1.73799e+06	1.77418e+06	2.02076e+06	1.66855e+06	2.27435e+06	2.03447e+06	2.18066e+06	2.10025e+06	2.0988e+06	2.55138e+06	2.23114e+06	2.08041e+06	2.03284e+06	3.29968e+06	2.57412e+06	2.82853e+06	2.83421e+06	2.08003e+06	2.54921e+06	2.40567e+06	2.54817e+06	2.4623e+06	2.70755e+06	2.97559e+06	2.74125e+06	2.7768e+06	2.33924e+06	2.33295e+06	2.51783e+06	2.67743e+06	2.62006e+06	3.97011e+06	3.53407e+06	3.47953e+06	4.05177e+06	2.80478e+06	2.2342e+06	2.38881e+06	2.49601e+06	2.27247e+06	2.21474e+06	2.42754e+06	2.43105e+06	2.36436e+06	2.00604e+06	2.29861e+06	2.34261e+06	2.4501e+06	2.46867e+06	3.20176e+06	3.03227e+06	2.86145e+06	3.01266e+06
P26447	P26447	S10A4_HUMAN	S100A4	Protein S100-A4	3.30408e+07	3.2021e+07	3.037e+07	3.08233e+07	3.30796e+07	3.20839e+07	3.25926e+07	3.12606e+07	3.05304e+07	3.04698e+07	3.0365e+07	3.07861e+07	3.06271e+07	2.55956e+07	2.78537e+07	2.90691e+07	2.67226e+07	3.08055e+07	3.11978e+07	3.00508e+07	3.11125e+07	3.16744e+07	3.22574e+07	3.02214e+07	2.97211e+07	3.0229e+07	3.05773e+07	3.04119e+07	3.0744e+07	3.06873e+07	2.78934e+07	2.37132e+07	2.64099e+07	2.5858e+07	2.3247e+07	2.74078e+07	3.19876e+07	3.16879e+07	2.97976e+07	3.01391e+07	2.83612e+07	2.9542e+07	3.13688e+07	2.90774e+07	3.02829e+07	3.11236e+07	3.11054e+07	2.95802e+07	2.92378e+07	2.45012e+07	2.83808e+07	2.75303e+07	2.34813e+07
P26583	P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	144457	351676										14488.6	58631.2						133369	397221										22634.9	25271.9						195764	414838										269204	95335.5				
P26599	P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	1.86109e+06	1.68598e+06	1.67191e+06	1.69514e+06	1.74425e+06	1.65005e+06	1.74951e+06	1.72499e+06	1.57579e+06	1.42146e+06	1.59345e+06	1.81631e+06	1.73756e+06	1.37557e+06	1.69656e+06	1.73242e+06	1.85833e+06	2.04399e+06	1.70352e+06	1.78032e+06	1.77865e+06	1.55709e+06	1.70865e+06	1.85043e+06	1.77146e+06	1.80888e+06	1.70883e+06	1.4623e+06	1.70965e+06	1.75883e+06	1.79475e+06	1.56799e+06	1.81588e+06	1.70731e+06	1.78395e+06	1.79074e+06	1.99502e+06	2.00736e+06	1.91796e+06	2.16963e+06	2.13418e+06	1.91875e+06	1.93631e+06	2.13579e+06	2.09679e+06	2.15757e+06	2.04421e+06	2.01835e+06	2.08857e+06	1.78353e+06	1.75762e+06	1.57769e+06	2.0074e+06
P26639	P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	5.18137e+06	4.64144e+06	4.78112e+06	4.98287e+06	4.16754e+06	5.05554e+06	4.98991e+06	5.15038e+06	4.82479e+06	5.10018e+06	5.23391e+06	5.01096e+06	5.1972e+06	5.81534e+06	5.89828e+06	5.4749e+06	5.49203e+06	4.66619e+06	4.64456e+06	4.60926e+06	4.68085e+06	4.81243e+06	4.44358e+06	4.98898e+06	4.71182e+06	4.84677e+06	4.72115e+06	4.7258e+06	4.9558e+06	4.84083e+06	4.91396e+06	5.55816e+06	5.40115e+06	5.40103e+06	5.65079e+06	4.82113e+06	4.65408e+06	5.21173e+06	5.18843e+06	5.20888e+06	4.94621e+06	4.92214e+06	4.77086e+06	5.20166e+06	5.0951e+06	4.77838e+06	4.80441e+06	5.23248e+06	5.23194e+06	6.20705e+06	5.2793e+06	4.99777e+06	5.44717e+06
P26640	P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	1.2654e+06	1.35021e+06	1.42973e+06	1.30163e+06	1.13245e+06	1.46478e+06	1.30363e+06	1.42793e+06	1.43481e+06	1.32073e+06	1.44308e+06	1.39947e+06	1.40981e+06	1.38998e+06	1.3975e+06	1.44962e+06	1.3674e+06	1.25935e+06	1.30388e+06	1.50703e+06	1.45137e+06	1.40217e+06	1.40987e+06	1.43419e+06	1.33606e+06	1.38739e+06	1.44082e+06	1.34453e+06	1.51241e+06	1.50596e+06	1.474e+06	1.47018e+06	1.56019e+06	1.63783e+06	1.48458e+06	1.35478e+06	1.2633e+06	1.25659e+06	1.27906e+06	1.27754e+06	1.35919e+06	1.45847e+06	1.29291e+06	1.41778e+06	1.27445e+06	1.19624e+06	1.16216e+06	1.4325e+06	1.4527e+06	1.30414e+06	1.46703e+06	1.21842e+06	1.42608e+06
P26641	P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	9.74963e+06	8.54715e+06	9.32705e+06	9.10484e+06	8.85924e+06	9.52257e+06	9.20573e+06	9.06805e+06	8.80483e+06	9.31144e+06	9.27048e+06	9.56394e+06	9.4204e+06	1.15754e+07	1.26693e+07	1.20302e+07	1.24359e+07	9.50687e+06	8.84315e+06	8.43675e+06	8.18331e+06	9.03317e+06	8.80775e+06	9.01974e+06	8.91098e+06	8.71497e+06	7.96228e+06	8.40355e+06	8.90539e+06	9.22952e+06	9.14213e+06	1.174e+07	1.16615e+07	1.11115e+07	1.1769e+07	8.19731e+06	9.33735e+06	9.15888e+06	9.08216e+06	9.22331e+06	9.22532e+06	9.36623e+06	8.99011e+06	9.16376e+06	9.19122e+06	9.05677e+06	9.37658e+06	9.54249e+06	9.33958e+06	1.1361e+07	1.30387e+07	1.24295e+07	1.26511e+07
P26885	P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	1.34245e+07	1.50283e+07	1.40356e+07	1.27912e+07	1.01323e+07	1.43132e+07	1.52778e+07	1.50119e+07	1.47853e+07	1.26122e+07	1.3889e+07	1.29521e+07	1.44734e+07	1.16555e+07	1.35542e+07	1.40338e+07	1.23745e+07	1.2798e+07	1.60986e+07	1.31813e+07	1.58014e+07	1.35349e+07	1.49886e+07	1.71468e+07	1.47377e+07	1.37829e+07	1.3189e+07	1.43082e+07	1.6787e+07	1.43178e+07	1.33534e+07	1.25391e+07	1.40783e+07	1.20572e+07	1.3155e+07	1.19781e+07	1.51509e+07	1.45017e+07	1.64144e+07	1.43997e+07	1.63002e+07	1.18401e+07	1.69461e+07	1.48709e+07	1.43523e+07	1.39316e+07	1.27018e+07	1.50431e+07	1.30814e+07	1.20934e+07	1.4889e+07	1.46898e+07	1.33801e+07
P27105	P27105	STOM_HUMAN	STOM	Stomatin	9.93602e+07	9.95501e+07	8.78592e+07	9.31498e+07	8.84237e+07	9.39848e+07	9.5763e+07	9.43979e+07	9.00518e+07	9.63175e+07	9.53337e+07	9.64382e+07	9.6135e+07	1.07917e+08	1.30491e+08	1.25473e+08	1.16745e+08	1.05147e+08	7.99762e+07	7.24497e+07	7.48469e+07	7.79713e+07	7.59254e+07	7.68351e+07	7.59927e+07	7.65643e+07	7.46946e+07	7.42203e+07	7.58981e+07	7.34215e+07	7.34893e+07	9.25089e+07	1.02097e+08	9.49367e+07	8.56819e+07	7.89226e+07	7.63474e+07	7.34569e+07	6.74678e+07	6.8018e+07	6.92641e+07	6.98756e+07	7.2673e+07	7.30179e+07	6.79275e+07	6.74926e+07	7.11913e+07	7.28136e+07	7.06987e+07	9.2107e+07	1.01297e+08	9.55791e+07	9.08516e+07
P27169	P27169	PON1_HUMAN	PON1	Serum paraoxonase/arylesterase 1	2.73907e+06	2.69763e+06	3.04867e+06	3.98379e+06	5.03786e+06	1.28125e+06	1.56513e+06	3.00577e+06	3.8104e+06	2.42729e+06	4.3699e+06	1.93047e+06	5.16584e+06	2.41451e+06	3.23342e+06	3.13926e+06	3.59021e+06	2.5207e+06	1.46393e+06	2.60346e+06	4.46883e+06	1.29677e+06	778749	1.41157e+06	2.58247e+06	3.37871e+06	2.63549e+06	3.86023e+06	2.17845e+06	2.66652e+06	1.48421e+06	1.61675e+06	2.62869e+06	2.15159e+06	2.92378e+06	1.41702e+06			1.41622e+06	3.29542e+06	2.12399e+06			1.71513e+06				1.34426e+06		1.40029e+06			1.58403e+06
P27216	P27216	ANX13_HUMAN	ANXA13	Annexin A13	847747	563993	665661	583543	663036	926253	804840	723106	613615	643146	685504	903826	741448	996236	903024	897228	1.26242e+06	1.06875e+06	922487	933600	436282	950516	894044	867180	736412	891240	825297	519196	362220	546540	560145	860265	807254	989684	700778	898933	718138	649408	642621	756598	484541	533762	680465	800069	182113	616011	531051	633846	790907	562942	324776	493081	611512
P27338	P27338	AOFB_HUMAN	MAOB	Amine oxidase [flavin-containing] B	5.80678e+06	5.4138e+06	5.58643e+06	5.44018e+06	4.58963e+06	5.78807e+06	5.47284e+06	5.67194e+06	5.25821e+06	5.73778e+06	5.73515e+06	5.99741e+06	5.94986e+06	7.99001e+06	8.61129e+06	7.88301e+06	7.75458e+06	5.29411e+06	3.98095e+06	3.63616e+06	3.74689e+06	3.66201e+06	4.05396e+06	3.98245e+06	3.82822e+06	3.63678e+06	3.75325e+06	3.7415e+06	4.00444e+06	4.05013e+06	4.14022e+06	5.62043e+06	5.50726e+06	5.66449e+06	5.63618e+06	3.5625e+06	3.99565e+06	3.70219e+06	3.93652e+06	3.86204e+06	3.7563e+06	4.26597e+06	3.97877e+06	3.86211e+06	3.89403e+06	3.96796e+06	3.99926e+06	4.3063e+06	4.14307e+06	5.67691e+06	5.85354e+06	5.2132e+06	5.59214e+06
P27348	P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	1.20997e+08	1.00207e+08	1.07385e+08	1.08708e+08	1.23419e+08	1.18997e+08	1.1138e+08	1.12816e+08	1.1175e+08	1.12468e+08	1.10917e+08	1.11831e+08	1.2001e+08	1.0546e+08	1.30127e+08	1.19627e+08	1.32674e+08	1.21644e+08	1.23257e+08	1.20649e+08	1.22613e+08	1.18713e+08	1.18124e+08	1.21749e+08	1.23094e+08	1.27726e+08	1.24564e+08	1.17016e+08	1.22074e+08	1.15829e+08	1.20082e+08	1.15328e+08	1.25254e+08	1.2721e+08	1.2485e+08	1.2089e+08	1.17113e+08	1.09264e+08	1.14347e+08	1.10002e+08	1.09119e+08	1.13844e+08	1.09218e+08	1.18117e+08	1.12617e+08	1.10283e+08	1.10795e+08	1.10753e+08	1.08044e+08	1.03212e+08	1.28997e+08	1.16633e+08	1.04579e+08
P27361	P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	2.97777e+06	2.843e+06	2.80807e+06	2.70267e+06	2.33549e+06	2.51447e+06	2.47775e+06	2.88479e+06	2.66764e+06	2.79787e+06	2.72182e+06	2.79066e+06	2.62438e+06	4.03741e+06	3.80175e+06	4.15968e+06	3.89684e+06	2.69368e+06	2.37577e+06	2.0434e+06	2.44779e+06	2.33828e+06	2.27979e+06	2.85546e+06	2.49787e+06	2.69923e+06	2.0808e+06	2.17626e+06	2.38611e+06	2.71569e+06	2.57116e+06	4.37756e+06	4.0524e+06	3.83172e+06	4.21331e+06	2.76535e+06	3.49546e+06	3.38065e+06	3.56096e+06	3.3858e+06	3.40534e+06	3.37256e+06	3.29379e+06	3.40358e+06	3.18849e+06	3.41756e+06	3.54442e+06	3.93236e+06	3.70911e+06	4.87714e+06	4.98042e+06	5.30094e+06	5.11066e+06
P27448	P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3		109598	154318	111105						199811	170007	114895		513418	324409	150675	354045		141448	121408								100909					184121	227326	246950			282378		106264		158529			735284	208046		251285		257583	248999	179161	410881
P27482	P27482	CALL3_HUMAN	CALML3	Calmodulin-like protein 3	2.50098e+07	2.95426e+07	2.8717e+07	3.29793e+07	2.31988e+07	3.82384e+07	2.32259e+07	2.42323e+07	2.52313e+07	6.33335e+06	5.17288e+06	2.9849e+07	5.44056e+06	2.24737e+07	5.03511e+06	6.01468e+06	2.35073e+07	3.1337e+07	1.77031e+07	2.36659e+07	2.33189e+07	3.2822e+07	2.37142e+07	4.16656e+07	5.23919e+06	2.3034e+07	4.32903e+06	1.48678e+06	2.96118e+06	1.18989e+07	4.27063e+06	2.38962e+07	2.58662e+06	4.33895e+06	1.75883e+07	2.09893e+07	2.70438e+07	2.78687e+07	2.67886e+07	3.12195e+07	3.50967e+07	3.73423e+07	3.58136e+07	2.90691e+07	2.76169e+07	2.89055e+07	2.55698e+07	2.5469e+07	2.96741e+07	2.14451e+07	1.2473e+07	4.36123e+06	2.22365e+07
P27701	P27701	CD82_HUMAN	CD82	CD82 antigen	1.18404e+06	1.43417e+06	1.54385e+06	1.64006e+06	1.00202e+06	1.61427e+06	1.58365e+06	2.09561e+06	1.95614e+06	2.04022e+06	1.9681e+06	1.34354e+06	1.791e+06	3.54345e+06	2.76763e+06	1.88356e+06	3.02284e+06	2.04187e+06	2.19095e+06	911739	1.65242e+06	2.10175e+06	884593	1.30446e+06	1.90588e+06	1.02094e+06	1.33661e+06	907220	1.55424e+06	838399	1.41515e+06	1.78566e+06	3.186e+06	2.3804e+06	2.87253e+06	2.03711e+06	3.51556e+06	3.83678e+06	2.0101e+06	3.28644e+06	2.63676e+06	2.88189e+06	3.03307e+06	3.1583e+06	3.28313e+06	2.72187e+06	3.21706e+06	2.83396e+06	2.79054e+06	4.64472e+06	4.10385e+06	3.47143e+06	3.75041e+06
P27707	P27707	DCK_HUMAN	DCK	Deoxycytidine kinase		407402	343864	422587		330653	300127	372058	465408	455057	380892	343339		219860	130225		307031	310565		210378	185043	114214	232006	33795.1	209110	308962		291546	220607		235957	264846	149159	72520.2	212330	452651		608648	541208	483918	629758	101139		717867	643501	378204	802917	100150	522272	240713	215209	251035	253228
P27708	P27708	PYR1_HUMAN	CAD	CAD protein	1.01842e+06	1.03423e+06	1.33037e+06	1.06825e+06	1.28766e+06	1.22374e+06	1.14819e+06	1.27352e+06	1.30606e+06	1.24691e+06	1.14174e+06	1.3979e+06	1.15634e+06	1.71164e+06	1.6865e+06	1.82717e+06	1.69347e+06	1.56321e+06	3.23345e+06	3.12172e+06	3.01213e+06	3.02175e+06	3.24118e+06	2.91163e+06	3.16259e+06	3.24913e+06	2.84261e+06	2.79658e+06	2.92599e+06	3.13499e+06	2.88862e+06	3.4342e+06	3.96196e+06	3.83682e+06	3.948e+06	3.26639e+06	3.09789e+06	3.15616e+06	2.97817e+06	3.31317e+06	3.29261e+06	3.23686e+06	3.30253e+06	3.34046e+06	2.9535e+06	3.11268e+06	3.2847e+06	3.38306e+06	3.43022e+06	3.51778e+06	3.39456e+06	3.57962e+06	4.08183e+06
P27797	P27797	CALR_HUMAN	CALR	Calreticulin	4.2971e+07	4.47492e+07	4.26138e+07	4.28906e+07	3.9186e+07	4.33244e+07	4.18412e+07	4.15499e+07	4.30984e+07	4.33438e+07	4.23059e+07	4.22502e+07	4.12737e+07	3.94493e+07	3.71149e+07	3.73505e+07	4.09395e+07	4.31262e+07	3.91484e+07	3.87051e+07	3.93005e+07	3.94712e+07	3.90012e+07	3.89621e+07	3.93655e+07	4.00222e+07	3.81879e+07	3.9605e+07	3.94326e+07	4.03508e+07	3.67801e+07	3.5864e+07	3.45455e+07	3.55792e+07	3.67288e+07	3.87026e+07	3.63638e+07	3.99435e+07	3.7517e+07	3.72299e+07	3.66585e+07	3.45996e+07	3.48239e+07	3.83908e+07	3.78893e+07	3.70825e+07	3.87743e+07	3.52507e+07	3.96413e+07	3.57611e+07	3.2354e+07	3.35784e+07	3.44379e+07
P27816	P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	3.74123e+06	4.28728e+06	4.02024e+06	3.71253e+06	4.08089e+06	4.1271e+06	4.05308e+06	4.05897e+06	4.18871e+06	4.00486e+06	3.3985e+06	3.92401e+06	3.98567e+06	3.34809e+06	3.5396e+06	3.4485e+06	3.19067e+06	3.95201e+06	3.78821e+06	3.81939e+06	3.9441e+06	3.36537e+06	3.65735e+06	3.88413e+06	3.88438e+06	4.02866e+06	3.87576e+06	3.73438e+06	4.02784e+06	3.79673e+06	4.08476e+06	3.14663e+06	3.2594e+06	3.30578e+06	3.24766e+06	3.98619e+06	3.15297e+06	2.53633e+06	2.85665e+06	2.9302e+06	3.25682e+06	3.07128e+06	3.22063e+06	3.04583e+06	2.93993e+06	3.17069e+06	3.04207e+06	3.23338e+06	3.1139e+06	2.33628e+06	2.80974e+06	2.50968e+06	2.50824e+06
P27824	P27824	CALX_HUMAN	CANX	Calnexin	2.5322e+07	2.46577e+07	2.45284e+07	2.39835e+07	2.18298e+07	2.47793e+07	2.44223e+07	2.31584e+07	2.34286e+07	2.34381e+07	2.41667e+07	2.34096e+07	2.50158e+07	1.95731e+07	2.11543e+07	2.10673e+07	2.0604e+07	2.38236e+07	2.52758e+07	2.54254e+07	2.47889e+07	2.41241e+07	2.44663e+07	2.52132e+07	2.41552e+07	2.46597e+07	2.39249e+07	2.47195e+07	2.50666e+07	2.54673e+07	2.62151e+07	2.01995e+07	2.17872e+07	2.05488e+07	2.07764e+07	2.36404e+07	2.31601e+07	2.3423e+07	2.26565e+07	2.27136e+07	2.27392e+07	2.23381e+07	2.21119e+07	2.25262e+07	2.26114e+07	2.23531e+07	2.26582e+07	2.26555e+07	2.29672e+07	1.96619e+07	1.97402e+07	1.88459e+07	1.98407e+07
P27986	P27986	P85A_HUMAN	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha	1.65566e+06	1.73996e+06	1.85603e+06	1.70134e+06	1.36226e+06	1.75385e+06	1.82291e+06	1.74849e+06	1.7578e+06	1.59704e+06	1.62114e+06	1.63009e+06	1.52073e+06	1.79299e+06	1.68525e+06	1.63502e+06	1.91504e+06	1.62076e+06	1.79255e+06	1.53643e+06	1.56313e+06	1.66849e+06	1.47185e+06	1.72103e+06	1.39625e+06	1.5079e+06	1.56634e+06	1.38631e+06	1.5899e+06	1.55954e+06	1.66503e+06	1.77455e+06	1.60629e+06	1.69711e+06	1.77037e+06	1.65421e+06	1.60831e+06	1.61654e+06	1.95773e+06	1.92104e+06	1.818e+06	1.86571e+06	1.84308e+06	1.92124e+06	1.9036e+06	1.76004e+06	1.84696e+06	1.76245e+06	1.80464e+06	2.04338e+06	1.63887e+06	1.75822e+06	1.9655e+06
P27987	P27987	IP3KB_HUMAN	ITPKB	Inositol-trisphosphate 3-kinase B	3.5606e+06	4.03115e+06	4.05714e+06	4.34013e+06	3.45184e+06	3.91146e+06	3.81768e+06	4.09144e+06	4.0755e+06	4.06018e+06	4.17772e+06	3.76045e+06	4.23502e+06	3.06182e+06	3.29959e+06	2.79842e+06	3.47538e+06	3.96971e+06	4.76334e+06	4.58483e+06	4.29111e+06	4.32535e+06	4.40636e+06	4.59374e+06	4.74308e+06	4.31819e+06	4.47177e+06	4.141e+06	4.25854e+06	4.67719e+06	4.67999e+06	3.85984e+06	3.31222e+06	3.04651e+06	3.64396e+06	4.84786e+06	3.4042e+06	3.10558e+06	2.63899e+06	3.89572e+06	3.64996e+06	3.31407e+06	3.83895e+06	3.88459e+06	3.44059e+06	3.66962e+06	3.90365e+06	3.35966e+06	4.08246e+06	3.13792e+06	2.59035e+06	2.20631e+06	2.95821e+06
